File name	Target file URL
redirect-062.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40194
redirect-063.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40195
redirect-064.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40196
redirect-066.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40199
redirect-065.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40200
redirect-069.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40201
redirect-067.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40203
redirect-070.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40206
redirect-071.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40209
redirect-074.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40212
redirect-076.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40216
redirect-072.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40217
redirect-073.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40219
redirect-075.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40221
redirect-077.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40223
redirect-078.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40224
redirect-079.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40226
redirect-081.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40230
redirect-080.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40231
redirect-084.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40232
redirect-082.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40233
redirect-085.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40234
redirect-083.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40235
redirect-087.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40237
redirect-088.jpg	http://ip.ssaa.ir/redirect?type=DeclarationAttachment&EM=13&obj=40239
